hashtags,text,user,location,time
[],"For the first time ever, my eBook is FREE for Days! (Original Price: $19.99) Click the following link to readâ€_",GeorgeChiu11,United States,Thu Oct 25 03:47:22 +0000 2018
[],Lots of cool things happening this weekend football ball game on Saturday and quail and pheasant season starts this weekend,gunnermartin2,"Iowa, USA",Thu Oct 25 03:47:45 +0000 2018
[],Manchester United icon Robin van Persie makes retirement announcement,ZedShowgirl,"Queens, NY",Thu Oct 25 03:47:59 +0000 2018
[],Lmao The Horror â€çï¸è,TheBriBankss_,"Queens, NY",Thu Oct 25 03:49:32 +0000 2018
[],"Nes double dragon, snes is final fantasy VI hands down kefka is one villain that can never be forgoâ€_",CladCrowe,"Hinesville, GA",Thu Oct 25 03:50:19 +0000 2018
[],The hard sell is NFL gig has an off-season. College football you are coaching or recruiting year roâ€_,T_Thomas3400,"Four Points, TN",Thu Oct 25 03:52:22 +0000 2018
[],his eyes arenâ€™t even. _Ÿ_·â€çï¸è,QueenCandace94,"Casper, WY",Thu Oct 25 03:54:19 +0000 2018
[],Deb...sheâ€™s an NFL Hall of Famer &amp; fellow Aggie! Well connected in the college football worlâ€_,Aggie82x2,"Texas, USA",Thu Oct 25 03:54:32 +0000 2018
[],Joe BUCK HAS BEEN THE BEST FOR A LONG LONG TIME WEATHER ITS BASEBALL or FOOTBALL JOE IS THE BEST OF THE BEST!!!!!,bigal754,"Oak Forest, IL",Thu Oct 25 03:54:33 +0000 2018
['TeamATN'],"I come for the football, I stay for the bits",Danieljhall6,"Atlanta, GA",Thu Oct 25 03:54:39 +0000 2018
[],IGNORANT THUGS _Ÿ_·â€çï¸è,OVOTY_,"Georgia, USA",Thu Oct 25 03:55:01 +0000 2018
[],Hey ...I have an extra ticket to the FSU/Clemson game this Saturday if you want it. Come on down toâ€_,GaryLardon,"Flower Mound, TX",Thu Oct 25 03:55:35 +0000 2018
[],Our flag football winners from tonight!! Congrats,CoLinResLife,"Mississippi, USA",Thu Oct 25 03:56:19 +0000 2018
[],This Devonte Freeman commercial even though heâ€™s on IR not giving me anything in fantasy football &lt; _Ÿ__â€çï¸è,Dallas_TX75241,"Dallas, TX",Thu Oct 25 03:56:39 +0000 2018
[],Here come the upgrades,BlackPacificCap,"California, USA",Thu Oct 25 03:56:54 +0000 2018
[],Football on a thirsty Thursday _Ÿ_ª,_xdayanna,"Morgantown, WV",Thu Oct 25 03:56:56 +0000 2018
[],football players are a bunch of assholes but I love assholes,naIg0na,"California, USA",Thu Oct 25 03:57:00 +0000 2018
[],fuck. football games are the WORST,EmilyAurora_24,"Chattanooga, TN",Thu Oct 25 03:57:42 +0000 2018
['Vol'],"Hey, fans! Hereâ€™s a sneak peek of the football signed by Coach Pruitt &amp; staff that weâ€™ll be auctioning off wheâ€_",northaltennalum,Below the Radar,Thu Oct 25 03:57:43 +0000 2018
[],My straight friend when I donâ€™t reply to his Fantasy Football trade offer fast enough...,ChiBromo,"Chicago, IL",Thu Oct 25 03:57:57 +0000 2018
['CForge'],Come out before the football game to see these girls at their senior night at pm!,Jenmuhlenbruck,Colonial Forge High School,Thu Oct 25 03:59:26 +0000 2018
